ID,Fakta,Kategori
F01,Satu tim memainkan bola sebanyak 4 sentuhan sebelum mengirimkannya ke area lawan.,Sentuhan
F02,Pemain memperoleh dorongan atau bantuan fisik dari rekan setim untuk menjangkau bola.,Sentuhan
F03,"Pemain menggunakan net, tiang, atau kursi wasit sebagai tumpuan untuk melompat.",Sentuhan
F04,"Bola ditahan, ditangkap, atau dilempar alih-alih dipukul secara bersih.",Sentuhan
F05,Seorang pemain melakukan dua kali sentuhan berturut-turut.,Sentuhan
F06,Bola mengenai beberapa bagian tubuh secara berurutan dalam satu aksi (bukan first contact).,Sentuhan
F07,Bola jatuh sepenuhnya di luar garis batas lapangan.,Bola Out
F08,Bola menyentuh objek luar lapangan (tidak termasuk langit-langit/atap jika masih dalam batas sentuhan).,Bola Out
F09,Bola mengenai orang di luar permainan seperti penonton atau official.,Bola Out
F10,Bola bersentuhan dengan antena.,Bola Out
F11,Bola menyentuh bagian net di luar antena (tali/kabel samping).,Bola Out
F12,Bola melewati ke lapangan lawan melalui bawah net.,Bola Out
F13,Bola masuk ke area lawan dari sisi luar antena.,Bola Out
F14,Pemain menyentuh pita atas net saat melakukan aksi bermain bola.,Net
F15,Pemain memegang atau bersandar pada net untuk menjaga keseimbangan.,Net
F16,Pemain menarik atau mengubah posisi net.,Net
F17,Kedua kaki pemain sepenuhnya melewati garis tengah ke area lawan.,Penetrasi
F18,Pemain masuk ke bawah net dan mengganggu lawan.,Penetrasi
F19,Pemain tidak berada pada posisi yang sesuai saat server melambungkan bola.,Posisi/Rotasi
F20,Servis dilakukan oleh pemain yang tidak sesuai urutan rotasi.,Posisi/Rotasi
F21,Bola servis yang telah dilambungkan tidak dipukul dan justru ditangkap kembali.,Servis
F22,Servis dilakukan menggunakan kedua tangan.,Servis
F23,Server menginjak garis akhir saat melakukan servis.,Servis
F24,Server melakukan lompatan servis dari luar zona servis.,Servis
F25,Server melebihi waktu 8 detik setelah peluit untuk memukul bola.,Servis
F26,Bola servis mengenai rekan setim sebelum melewati net.,Servis
F27,Bola servis gagal melewati net atau tersangkut.,Servis
F28,Pemain menghalangi pandangan lawan dengan gerakan tangan atau tubuh saat servis.,Servis
F29,Beberapa pemain berkumpul untuk menutup pandangan lawan terhadap server.,Servis
F30,Pemain memukul bola di area lawan sebelum bola masuk ke wilayahnya.,Serangan
F31,Pemain belakang melakukan smash dari area depan (melewati garis serang).,Serangan
F32,Bola berada sepenuhnya di atas ketinggian net saat dilakukan serangan.,Serangan
F33,Serangan dilakukan langsung terhadap bola servis lawan.,Serangan
F34,Libero melakukan smash ke area lawan.,Serangan
F35,Smash dilakukan dari umpan atas Libero yang berada di area depan.,Serangan
F36,Block dilakukan sebelum lawan menyelesaikan serangan.,Block
F37,Pemain belakang ikut melakukan block.,Block
F38,Libero mencoba melakukan block.,Block
F39,Pemain mem-block langsung bola servis lawan.,Block
F40,Block dilakukan di luar area antena.,Block
F41,Tim melakukan lebih dari 6 pergantian pemain dalam satu set.,Administratif
F42,Pemain yang tidak terdaftar dimasukkan ke lapangan.,Administratif
F43,Pergantian pemain tidak sesuai posisi rotasi.,Administratif
F44,Pergantian Libero dilakukan tanpa jeda satu rally.,Administratif
F45,Tim mengulangi permintaan tidak sah yang sebelumnya ditolak.,Administratif
F46,Tim sengaja memperlambat jalannya pertandingan.,Administratif
F47,Tim terlambat kembali ke lapangan setelah time-out.,Administratif
F48,Pemain atau official menunjukkan perilaku kasar.,Konduite
F49,Pemain menggunakan kata-kata atau gestur yang menghina.,Konduite
F50,Pemain melakukan tindakan agresif atau kekerasan.,Konduite
F51,Pemain memakai aksesoris berbahaya.,Konduite
F52,Tim tidak memiliki 6 pemain di lapangan.,Konduite
F53,Pemain memakai seragam berbeda dari timnya.,Konduite
F54,Tim meminta pergantian saat lawan siap servis.,Administratif
F55,Terjadi kesalahan rotasi bersamaan antara kedua tim saat servis.,Posisi/Rotasi
F56,Tim melakukan sentuhan keempat setelah bola hasil block kembali ke area sendiri.,Sentuhan
F57,Pemain depan dan belakang bertukar posisi sebelum server melambungkan bola.,Posisi/Rotasi
